"DEPTH
","POROSITY
"
1812.05,23.1
1812.35,24.4
1812.5,21.9
1812.72,21.3
1813.05,21.8
1813.3,21.8
1813.5,22.1
1813.72,24.3
1814.05,29.5
1814.3,27.6
1814.5,30.6
1814.7,32.2
1815.05,31.9
1815.3,26
1815.5,22.9
1815.7,27.8
1816.02,29.3
1816.27,23.5
1816.45,24.9
1816.75,22.8
1816.85,32.7
1817.35,26.3
1817.5,31.8
1817.68,
1818.02,26.5
1818.32,11.5
1818.5,12.3
1818.75,3.6
1819.1,30.1
1819.3,23.7
1819.5,
1819.75,
1820,
1820.34,31.4
1820.48,30.2
1820.55,31.4
1821,
1821.25,
1821.5,
1821.75,
1822,
1822.25,
1822.5,
1822.75,
1823,
1823.25,
1823.5,
1823.75,
1824.02,21.3
1824.32,10.6
1824.5,
1824.75,
1825,28.5
1825.35,24.5
1825.5,28.7
1825.72,
1826.02,
1826.27,26.1
1826.5,
1826.7,27.4
1827.05,30.3
1827.3,
1827.5,
1827.87,22.2
1828.05,29.7
1828.3,32
1828.5,
1828.75,
1829.03,31.4
1829.25,
1829.47,28.2
1829.68,21.9
1830,30.4
1830.3,28.8
1830.5,30.7
1830.7,31.8
1831,
1831.3,33.3
1831.5,32.4
1831.68,23.2
1832.03,18.1
1832.23,28.6
1832.5,32
1832.66,33.3
1832.9,33.3
1833.3,30.4
1833.5,27.3
1833.7,25.8
1833.87,32.2
1834.3,32.5
1834.5,31.1
1834.7,30.1
1835.1,31.2
1835.3,31.8
1835.5,27.9
1835.7,31.8
1835.93,31.9
1836.32,34.5
1836.48,31.9
1836.67,21
1836.92,30.1
1837.25,31.6
1837.5,
1837.75,
1838,
1838.2,30.5
