CALI,DENC,DENS,DTC,DTS1,DTS2,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP,closest_depth,true depth,"SAMPLE
NUMBER","PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",Longitude,Latitude
12.1324,-0.0043,2.212,103.2247,170.9087,184.2185,48.587,0.2961,2.7016,71.6895,2.2534,25.2481,-22.5,2133.03,2132.966,37,430,,28.1,-4.2432231,60.3731917
12.1275,-0.0048,2.2073,102.9405,173.6641,180.3872,47.0087,0.3006,2.6901,155.141,2.3206,24.656,-27.75,2133.03,2133.1184,37,430,,28.1,-4.2432231,60.3731917
12.1258,-0.0065,2.2004,100.4345,176.7245,181.0366,48.5036,0.2961,2.7003,62.8521,2.345,26.2321,-27.0625,2133.3,2133.2708,38,492,,28.5,-4.2432231,60.3731917
12.1336,-0.0061,2.2045,99.6057,177.9814,180.3864,48.9826,0.2956,2.6941,60.3652,2.3688,26.9317,-25.4375,2133.3,2133.4232,38,492,,28.5,-4.2432231,60.3731917
12.1249,-0.0058,2.2107,100.0268,178.4006,180.7034,47.0031,0.2957,2.7038,63.395,2.3453,26.757,-23.0625,2133.55,2133.5756,39,541,437,28.7,-4.2432231,60.3731917
12.1315,-0.0037,2.2219,100.622,176.7415,180.4963,45.9426,0.2981,2.6706,56.2565,2.2954,24.8217,-26.5,2133.76,2133.728,40,141,,25.3,-4.2432231,60.3731917
12.129,-0.005,2.2149,99.7619,174.7965,179.0362,46.574,0.2846,2.692,51.0876,2.2295,24.0157,-28.1875,2133.76,2133.8804,40,141,,25.3,-4.2432231,60.3731917
12.1298,-0.004,2.2067,101.0818,173.8922,177.501,48.8774,0.2938,2.6646,47.7818,2.4803,23.521,-22.8125,2134.1200000000003,2134.0328,41,582,,28.7,-4.2432231,60.3731917
12.1315,-0.0021,2.2004,102.5759,172.5039,177.2181,50.7131,0.2959,2.6576,45.6031,2.6015,23.3548,-26.125,2134.1200000000003,2134.1852,41,582,,28.7,-4.2432231,60.3731917
12.1281,-0.0017,2.1981,102.247,171.4608,177.431,48.7707,0.3025,2.6115,46.1901,2.4883,23.7709,-26.875,2134.29,2134.3376,42,543,,28.6,-4.2432231,60.3731917
12.1263,-0.003,2.2003,103.7797,171.6558,178.083,47.3104,0.2948,2.6491,49.8751,2.1639,24.9082,-27.4375,2134.55,2134.49,43,662,440,29.1,-4.2432231,60.3731917
12.1233,-0.0061,2.1972,108.1577,172.4198,180.7048,46.5921,0.2884,2.7165,59.1113,2.0577,27.9718,-23.75,2134.55,2134.6424,43,662,440,29.1,-4.2432231,60.3731917
12.1286,-0.0063,2.198,105.131,173.3988,182.1595,47.6585,0.2938,2.7256,70.353,1.9667,30.8025,-27.5,2134.86,2134.7948,44,587,,28.7,-4.2432231,60.3731917
12.1244,-0.008,2.1916,105.9955,174.1245,183.0568,49.8768,0.282,2.754,83.6504,1.9948,33.6343,-29.0625,2134.86,2134.9472,44,587,,28.7,-4.2432231,60.3731917
12.1267,-0.0074,2.1914,104.503,177.1283,182.2856,51.2012,0.2911,2.7735,84.2904,2.0652,36.5616,-26.4375,2135.07,2135.0996,45,620,,28.8,-4.2432231,60.3731917
12.1272,-0.0041,2.192,104.1518,180.1814,180.7871,51.3275,0.2916,2.8352,85.9352,2.0485,38.0361,-23.625,2135.32,2135.252,46,633,,29,-4.2432231,60.3731917
12.1244,0.0004,2.1998,103.1905,177.8359,179.6554,51.2012,0.2952,2.8631,89.5433,2.0549,38.4675,-26.8125,2135.32,2135.4044,46,633,,29,-4.2432231,60.3731917
12.1256,0.0002,2.2046,103.6414,175.1594,176.8583,48.2618,0.3012,2.7896,92.735,1.9908,37.9276,-26.125,2135.57,2135.5568,47,726,327,29.3,-4.2432231,60.3731917
12.1286,0.0004,2.2108,104.6622,174.3203,176.9964,49.0829,0.3021,2.7102,89.8818,1.9669,36.0646,-26,2135.75,2135.7092,48,657,,29,-4.2432231,60.3731917
12.1052,-0.0016,2.2118,102.4405,172.1812,176.0625,48.2067,0.3091,2.686,84.2162,1.9442,34.3031,-25.3125,2135.75,2135.8616,48,657,,29,-4.2432231,60.3731917
12.1099,-0.005,2.2038,102.0551,169.7587,174.8869,51.2387,0.2958,2.6782,79.6235,2.0686,33.7941,-26.4375,2136.1200000000003,2136.014,49,395,,27.2,-4.2432231,60.3731917
12.1086,-0.0074,2.1997,101.2932,168.5568,174.61,50.7965,0.2967,2.7601,75.1028,2.2818,32.7933,-26.3125,2136.1200000000003,2136.1664,49,395,,27.2,-4.2432231,60.3731917
12.1158,-0.009,2.1941,99.9449,167.4403,175.2355,48.6142,0.2872,2.7818,72.4239,2.3814,32.2481,-24.25,2136.3100000000004,2136.3188,50,596,,28.6,-4.2432231,60.3731917
12.1094,-0.008,2.1918,101.4871,166.3747,176.6404,47.1614,0.3066,2.827,72.9476,2.2774,32.1636,-25.6875,2136.55,2136.4712,51,403,489,27.2,-4.2432231,60.3731917
12.1132,-0.0074,2.1934,101.9107,166.8852,177.1361,48.172,0.2994,2.8205,41.8564,2.2168,33.7793,-27.1875,2136.55,2136.6236,51,403,489,27.2,-4.2432231,60.3731917
12.1086,-0.0064,2.1971,101.3321,170.1742,178.3487,51.4832,0.3032,2.8523,77.6523,2.1657,32.6588,-23,2136.8300000000004,2136.776,52,512,,27.9,-4.2432231,60.3731917
12.1073,-0.002,2.2066,100.8363,172.0053,179.4574,51.9762,0.2932,2.8561,83.1641,2.1375,32.2874,-23.1875,2136.8300000000004,2136.9284,52,512,,27.9,-4.2432231,60.3731917
12.1095,0.0023,2.2072,99.7743,171.5897,178.7471,50.397,0.3008,2.8591,89.4144,2.0884,32.275,-25.875,2137.05,2137.0808,53,497,,27.7,-4.2432231,60.3731917
12.1234,-0.0007,2.2018,101.2455,170.3012,178.1047,50.5977,0.3053,2.8472,130.939,2.1529,30.5496,-24.375,2137.3,2137.2332,54,407,,28.1,-4.2432231,60.3731917
12.1295,0.0002,2.2041,101.1711,171.4014,176.0446,51.2961,0.3017,2.822,92.9058,2.1476,32.1438,-25.9375,2137.3,2137.3856,54,407,,28.1,-4.2432231,60.3731917
12.123,0.0003,2.2051,100.1696,174.8163,176.6774,52.4316,0.2854,2.8107,90.5602,2.1038,31.1627,-24.75,2137.54,2137.538,55,521,372,28,-4.2432231,60.3731917
12.129,-0.0052,2.2053,99.7158,175.2608,177.1086,50.715,0.2804,2.735,90.6464,2.0889,30.8496,-26.6875,2137.76,2137.6904,56,424,,27.9,-4.2432231,60.3731917
12.131,-0.0093,2.2015,98.9985,174.4706,176.8239,48.5799,0.2711,2.7035,91.5101,2.0937,30.7833,-24.125,2137.76,2137.8428,56,424,,27.9,-4.2432231,60.3731917
12.1211,-0.0061,2.2082,98.8929,173.8886,177.2003,46.8158,0.2746,2.6821,94.301,2.1004,30.9505,-25.5625,2138.1000000000004,2137.9952,57,380,,26.7,-4.2432231,60.3731917
12.1242,-0.0079,2.2033,98.6533,172.6721,177.6696,48.5213,0.2739,2.7133,95.513,2.138,31.293,-25.5,2138.1000000000004,2138.1476,57,380,,26.7,-4.2432231,60.3731917
12.1242,-0.0085,2.2026,98.8333,171.3307,176.8436,50.5457,0.2778,2.7675,60.875,2.1281,31.6733,-26.375,2138.3,2138.3,58,667,,28.7,-4.2432231,60.3731917
12.1272,-0.0062,2.1846,98.8408,173.1747,177.0521,52.58,0.2952,2.8269,70.5986,2.026,26.3013,-25,2138.55,2138.4524,59,172,319,26.3,-4.2432231,60.3731917
12.1256,-0.0079,2.1429,99.3274,179.4994,177.465,55.1597,0.3299,2.9578,46.3545,1.9566,20.1439,-26.125,2138.55,2138.6048,59,172,319,26.3,-4.2432231,60.3731917
12.1237,-0.0121,2.1154,101.4524,185.289,186.7529,59.9384,0.3553,3.068,33.451,2.0817,17.2885,-26.125,2138.55,2138.7572,59,172,319,26.3,-4.2432231,60.3731917
12.1256,-0.0104,2.1244,105.4792,188.6047,179.5212,62.3955,0.3591,2.9687,27.7508,2.3789,15.4113,-27.875,2139.05,2138.9096,61,784,,31.9,-4.2432231,60.3731917
12.131,-0.0079,2.1581,109.622,194.1191,184.2452,61.4695,0.3412,2.8406,23.4148,2.3581,13.9325,-26.625,2139.05,2139.062,61,784,,31.9,-4.2432231,60.3731917
12.1267,-0.0052,2.1852,114.8229,201.7005,205.1416,56.2503,0.325,2.6835,22.9056,2.1967,14.0544,-27,2139.3,2139.2144,62,697,,29.7,-4.2432231,60.3731917
12.1272,-0.0058,2.1995,119.3214,204.1449,222.0336,54.2416,0.3089,2.6965,13.0918,2.0959,16.458,-26.5625,2139.3,2139.3668,62,697,,29.7,-4.2432231,60.3731917
12.1267,-0.0062,2.2194,121.2515,199.0595,221.9206,52.3984,0.2752,2.7262,32.9786,1.8484,16.7751,-30.625,2139.55,2139.5192,63,134,106,24.1,-4.2432231,60.3731917
12.1312,-0.0067,2.2372,119.7083,196.8794,203.331,51.615,0.2605,2.8312,27.4064,2.0002,16.4433,-23.4375,2139.77,2139.6716,64,140,,23.9,-4.2432231,60.3731917
