CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP,closest_depth,true depth,"SAMPLE
NUMBER","PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",Longitude,Latitude
11.9417,-0.0204,2.2179,98.05,183.8482,43.8641,0.3009,2.6856,94.6934,2.3008,49.3556,-253.75,1952.2,1952.3464,2,1057,607,27.7,-4.0386472,60.3518389
11.9438,-0.0204,2.2266,97.05,203.0998,47.4428,0.3058,2.7325,98.3241,5.6185,49.0413,-251.1875,1952.2,1952.4988,2,1057,607,27.7,-4.0386472,60.3518389
11.9361,-0.0214,2.209,101.8,218.359,50.2418,0.2871,2.7621,75.9538,4.4258,42.1227,-249.8125,1952.2,1952.6512,2,1057,607,27.7,-4.0386472,60.3518389
11.9344,-0.0197,2.1363,114.4,211.3035,43.204,0.3776,2.6075,70.3504,5.9306,30.1814,-255.75,1956.95,1956.4612,5,1784,1292,30.3,-4.0386472,60.3518389
11.9389,-0.0177,2.149,112.9,199.9575,45.5731,0.3583,2.7711,384.1646,5.7896,55.0448,-252.625,1956.95,1956.6136,5,1784,1292,30.3,-4.0386472,60.3518389
11.9361,-0.0143,2.1636,109.5,193.6988,44.0539,0.3631,2.8288,289.0396,1.151,55.019,-247.6875,1956.95,1956.766,5,1784,1292,30.3,-4.0386472,60.3518389
11.9438,-0.0135,2.1702,107.7,191.1941,43.2719,0.3355,2.8726,141.0012,1.0881,47.5833,-246.875,1956.95,1956.9184,5,1784,1292,30.3,-4.0386472,60.3518389
11.9344,-0.0121,2.1793,108.6,190.2812,45.1972,0.3271,2.8913,85.8967,1.0955,41.0324,-247.375,1956.95,1957.0708,5,1784,1292,30.3,-4.0386472,60.3518389
11.9417,-0.0112,2.1888,109.95,190.9525,47.4828,0.2953,2.9389,57.9114,1.2222,33.3726,-250.625,1956.95,1957.2232,5,1784,1292,30.3,-4.0386472,60.3518389
11.9473,-0.0112,2.2006,104.5,190.7525,47.2565,0.3014,2.8587,39.9372,1.2494,25.9124,-253.875,1956.95,1957.3756,5,1784,1292,30.3,-4.0386472,60.3518389
12.0108,-0.0191,2.186,108.3,192.3593,69.3223,0.3384,2.9021,6.8555,4.4386,6.679,-243.375,1960.53,1960.1188,8,2909,2771,30.4,-4.0386472,60.3518389
11.9628,-0.0205,2.1628,106.9,173.8486,58.3249,0.2986,2.8241,18.993,4.5841,14.9147,-245.375,1960.53,1960.2712,8,2909,2771,30.4,-4.0386472,60.3518389
11.9517,-0.0202,2.1513,105.4,176.9153,51.0102,0.31,2.7445,54.8209,1.3354,34.6696,-248.75,1960.53,1960.4236,8,2909,2771,30.4,-4.0386472,60.3518389
11.9289,-0.0234,2.1427,105.75,181.8224,49.3563,0.3467,2.7623,56.1015,1.2762,37.4568,-250,1960.53,1960.576,8,2909,2771,30.4,-4.0386472,60.3518389
11.9035,-0.0291,2.1376,105.6,190.8676,48.9484,0.3646,2.6922,51.1503,1.3356,36.0395,-251.0625,1960.53,1960.7284,8,2909,2771,30.4,-4.0386472,60.3518389
11.9057,-0.0271,2.1329,105.2,196.5572,49.8694,0.3831,2.7325,41.5487,1.273,30.2197,-254.1875,1960.53,1960.8808,8,2909,2771,30.4,-4.0386472,60.3518389
11.9648,-0.017,2.1642,108,213.5315,44.2323,0.3613,2.7707,13.3986,1.1423,10.8433,-244.9375,1979.05,1978.5592,10,1272,1089,31.3,-4.0386472,60.3518389
11.9876,-0.0152,2.1545,108.4,208.9016,45.6389,0.3674,2.6463,13.4814,1.1307,10.9731,-244.1875,1979.05,1978.7116,10,1272,1089,31.3,-4.0386472,60.3518389
11.9705,-0.0179,2.1446,109,219.9519,46.8318,0.3382,2.5791,14.7706,1.1717,11.7743,-241.0625,1979.05,1978.864,10,1272,1089,31.3,-4.0386472,60.3518389
11.9648,-0.0195,2.1464,108.9,227.5502,49.1178,0.3357,2.7445,19.3427,3.8349,14.3229,-239.5,1979.05,1979.0164,10,1272,1089,31.3,-4.0386472,60.3518389
11.9803,-0.0186,2.1553,107.85,228.982,50.5434,0.3282,2.9773,35.2088,2.5007,22.3393,-242.0625,1979.05,1979.1688,10,1272,1089,31.3,-4.0386472,60.3518389
11.9902,-0.0181,2.1577,105.3,230.8421,53.0485,0.3645,3.0102,78.4476,1.3318,42.8048,-244.25,1979.05,1979.3212,10,1272,1089,31.3,-4.0386472,60.3518389
11.9831,-0.0185,2.1495,105.85,228.4142,51.1304,0.3941,2.8751,73.6946,1.3069,44.0018,-242.75,1979.05,1979.4736,10,1272,1089,31.3,-4.0386472,60.3518389
11.9831,-0.02,2.1599,106.8,201.114,47.276,0.3757,2.9648,77.4998,1.5931,52.4409,-241.25,1983.05,1982.674,13,3706,3072,30.7,-4.0386472,60.3518389
11.974,-0.0205,2.1455,107.1,213.2272,50.5827,0.3803,2.9747,76.3484,1.4804,51.5517,-239.25,1983.05,1982.8264,13,3706,3072,30.7,-4.0386472,60.3518389
11.9859,-0.0216,2.1484,106.45,214.2106,49.193,0.3774,3.0419,68.914,1.2188,48.2487,-240.8125,1983.05,1982.9788,13,3706,3072,30.7,-4.0386472,60.3518389
11.9928,-0.0219,2.1431,106.6,215.9656,51.2023,0.3761,3.0216,65.481,1.2115,46.4268,-240.5625,1983.05,1983.1312,13,3706,3072,30.7,-4.0386472,60.3518389
