AT20,AT60,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMED,RSHAL,closest_depth,true depth,"SAMPLE
NUMBER","PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",Longitude,Latitude
6.1345,4.8067,12.1299,0.001,2.3783,74.8072,154.3846,46.3843,0.1788,3.1817,4.8067,5.5434,8.5392,2678.05,2678.0752,1,81,59,17.4,-4.0386472,60.3518389
5.8192,5.026,12.115,0.002,2.3896,70.009,158.577,40.7105,0.202,3.1752,5.026,5.4421,7.9032,2678.25,2678.2276,2,58,,14.2,-4.0386472,60.3518389
5.0554,5.0554,12.1153,0.002,2.3947,67.0486,164.2905,54.3805,0.2496,3.6496,5.0554,5.0554,7.0471,2678.46,2678.38,3,64,,15.3,-4.0386472,60.3518389
4.4477,4.4477,12.125,0.0016,2.3762,69.7937,171.9017,64.3643,0.3242,3.7366,4.4477,4.4477,5.1203,2678.46,2678.5324,3,64,,15.3,-4.0386472,60.3518389
3.6285,3.6285,12.165,0,2.3646,76.0842,187.9906,65.5157,0.3505,3.5794,3.6285,3.6285,4.1923,2678.46,2678.6848,3,64,,15.3,-4.0386472,60.3518389
3.1313,2.7907,12.2522,-0.002,2.3569,85.8993,193.5003,63.0549,0.3326,3.1014,2.7907,2.7907,3.5113,2679,2678.8372,5,834,158,22.6,-4.0386472,60.3518389
3.0599,2.7719,12.285,-0.0048,2.3463,95.7143,182.8031,51.1334,0.2768,2.9133,2.7719,2.7719,3.3877,2679,2678.9896,5,834,158,22.6,-4.0386472,60.3518389
3.4323,3.1055,12.2511,-0.006,2.3463,92.8629,184.1883,50.6269,0.2469,2.822,3.1055,3.1055,3.8786,2679.25,2679.142,6,8.7,,18.9,-4.0386472,60.3518389
3.826,3.7298,12.1667,-0.007,2.3285,94.5184,179.8666,48.62,0.2266,2.8634,3.7298,3.7298,4.2627,2679.25,2679.2944,6,8.7,,18.9,-4.0386472,60.3518389
4.0188,3.9964,12.0753,-0.007,2.3248,95.0913,176.3189,48.5798,0.2268,2.9199,3.9964,3.9964,4.4237,2679.5,2679.4468,7,22,,19.2,-4.0386472,60.3518389
