CALI,DENC,DENS,DTC,DTS,DTS1,DTS2,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP,closest_depth,true depth,"SAMPLE
NUMBER","PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",Longitude,Latitude
12.0265,-0.0069,2.3764,103.4826,187.4133,183.6202,179.5501,59.7365,0.2324,3.0831,20.7651,2.1264,14.9544,-49.3125,2000.25,2000.2,2,502,,27.3,-4.0585925,60.3465144
12.0428,-0.0056,2.3614,102.7572,186.7851,178.2443,173.5867,57.6949,0.2374,2.9439,22.1564,1.7235,15.5438,-50.4375,2000.25,2000.3524,2,502,,27.3,-4.0585925,60.3465144
12.0643,-0.0111,2.2949,102.8362,186.9328,175.1048,173.1088,59.2231,0.2646,2.7946,22.9744,1.5987,15.6685,-51.5625,2000.56,2000.5048,3,68,,23.4,-4.0585925,60.3465144
12.089,-0.0121,2.2506,102.547,186.5639,174.9465,173.2018,59.5627,0.3054,2.7129,20.0396,1.775,13.7487,-51.5625,2000.75,2000.6572,4,19,,19.5,-4.0585925,60.3465144
12.0769,-0.0082,2.2326,103.3028,187.9372,175.2552,174.6737,63.8948,0.3215,2.6114,15.3822,1.9843,11.6954,-51.3125,2000.75,2000.8096,4,19,,19.5,-4.0585925,60.3465144
12.0617,-0.0052,2.2265,104.3966,187.9361,180.5012,177.2516,64.041,0.3307,2.5825,11.8751,1.7465,9.1593,-51.75,2000.95,2000.962,5,353,8.6,27.1,-4.0585925,60.3465144
12.0586,-0.0074,2.2322,102.5714,187.611,180.9921,183.8809,61.8031,0.3277,2.7122,10.8292,1.7282,8.3301,-53.3125,2000.95,2001.1144,5,353,8.6,27.1,-4.0585925,60.3465144
12.0606,-0.0069,2.2536,103.233,187.7702,186.778,186.1883,64.6518,0.3334,2.9367,9.5573,2.6881,7.3543,-53.25,2001.35,2001.2668,6,82,,24.6,-4.0585925,60.3465144
12.0598,-0.0009,2.2959,104.0064,187.6885,190.7623,186.1242,80.3563,0.3458,3.0305,7.2891,2.8445,6.1478,-54.4375,2001.35,2001.4192,6,82,,24.6,-4.0585925,60.3465144
12.0839,0.0001,2.3218,104.9967,187.8973,195.2617,188.5863,80.9866,0.3519,3.0583,5.9379,3.1044,5.5057,-52.0625,2001.5,2001.5716,7,894,,28.5,-4.0585925,60.3465144
11.8193,-0.0047,2.3399,102.3563,187.5198,198.3123,199.1411,83.4208,0.3656,3.0463,5.5486,3.1093,5.1586,-52.75,2001.78,2001.724,8,280,,24,-4.0585925,60.3465144
12.4412,-0.0052,2.3409,100.0714,188.4672,200.0376,201.4884,82.8644,0.3601,2.9722,5.4331,2.9351,5.0242,-54.5625,2001.78,2001.8764,8,280,,24,-4.0585925,60.3465144
12.0796,-0.0043,2.3118,99.6953,189.4877,205.6309,203.1148,79.8374,0.3746,2.9733,5.3591,3.0828,4.9724,-54.6875,2002.08,2002.0288,9,486,14,26.4,-4.0585925,60.3465144
12.0804,-0.0117,2.297,100.0083,188.8747,206.6721,202.4357,79.9885,0.3662,2.9846,5.1227,2.5181,4.9192,-54.3125,2002.25,2002.1812,10,0.47,,20.5,-4.0585925,60.3465144
12.0903,-0.0082,2.3008,100.9214,188.2594,205.4673,197.7009,78.3754,0.3498,3.1418,5.0415,2.6083,4.8246,-51.1875,2002.25,2002.3336,10,0.47,,20.5,-4.0585925,60.3465144
11.8113,-0.0016,2.3364,101.6863,188.4959,205.2842,197.3732,83.8169,0.3536,3.2825,5.2539,2.7327,5.1115,-48.9375,2002.7,2002.486,12,544,,29.4,-4.0585925,60.3465144
12.4831,-0.0026,2.3478,102.5184,187.6582,203.5879,195.122,82.7023,0.3652,3.469,5.2111,2.8965,4.9333,-52.625,2002.7,2002.6384,12,544,,29.4,-4.0585925,60.3465144
12.0737,-0.006,2.3434,102.8529,187.1065,204.9608,196.9931,82.5756,0.3781,3.445,5.1945,2.2408,4.9189,-53.25,2002.7,2002.7908,12,544,,29.4,-4.0585925,60.3465144
12.0702,-0.0051,2.3176,103.3796,187.5533,205.3197,199.7225,80.2163,0.3659,3.3924,5.2761,1.7844,5.0209,-52.1875,2002.96,2002.9432,13,83,1.6,24.3,-4.0585925,60.3465144
11.7623,-0.0128,2.2903,103.0725,187.619,206.6799,201.4185,82.7672,0.3479,3.1925,5.5432,2.0324,5.0616,-49.5625,2002.96,2003.0956,13,83,1.6,24.3,-4.0585925,60.3465144
12.4074,-0.0123,2.2831,102.5778,187.0294,205.6782,206.1226,80.6355,0.3572,3.1883,6.656,2.5918,5.6068,-49.6875,2003.25,2003.248,14,2.4,,20.7,-4.0585925,60.3465144
12.0805,-0.0099,2.2848,102.637,187.1676,208.2166,205.1789,81.1662,0.3606,2.9883,7.5466,2.4322,6.4819,-49.5,2003.25,2003.4004,14,2.4,,20.7,-4.0585925,60.3465144
12.0513,-0.0141,2.2505,103.773,187.2697,205.7764,203.0143,77.5293,0.3739,2.7218,9.0678,2.9117,7.765,-50,2003.75,2003.5528,16,43,,27.1,-4.0585925,60.3465144
12.029,-0.0195,2.2232,106.268,186.807,204.2746,199.0943,65.8666,0.3576,2.5818,14.2505,3.4324,11.6283,-49.75,2003.75,2003.7052,16,43,,27.1,-4.0585925,60.3465144
12.0312,-0.018,2.1989,106.9571,186.0903,200.1089,196.528,59.3365,0.3446,2.4707,28.6561,1.6136,19.6997,-49.3125,2003.75,2003.8576,16,43,,27.1,-4.0585925,60.3465144
12.0302,-0.0206,2.1867,107.2159,185.8035,199.2141,194.0263,57.9468,0.3359,2.492,23.5455,1.6144,19.7756,-49.1875,2003.97,2004.01,17,2.4,0.63,22.2,-4.0585925,60.3465144
11.7179,-0.0209,2.1815,108.734,185.2514,198.9184,194.1744,57.4415,0.3298,2.4967,16.2668,1.4135,13.0779,-51.125,2004.25,2004.1624,18,471,,27.3,-4.0585925,60.3465144
12.3528,-0.02,2.2048,108.7575,185.3802,197.3345,191.4872,54.1478,0.3173,2.6075,14.93,1.3851,11.9163,-50.0625,2004.25,2004.3148,18,471,,27.3,-4.0585925,60.3465144
12.0347,-0.0132,2.2225,108.8267,185.9985,198.5212,193.7487,63.8995,0.324,2.8496,12.5519,2.584,9.9732,-49.125,2004.5,2004.4672,19,1180,,29.7,-4.0585925,60.3465144
12.0335,-0.0167,2.2424,108.8226,185.6298,198.0729,197.5427,65.8317,0.3335,2.9937,15.5732,2.8042,11.8768,-47.5625,2004.68,2004.6196,20,930,,29.1,-4.0585925,60.3465144
11.7309,-0.0163,2.2453,108.1896,185.6201,198.8498,192.6111,66.7397,0.3541,2.8941,19.7734,1.8101,14.9472,-49.875,2004.68,2004.772,20,930,,29.1,-4.0585925,60.3465144
12.0324,-0.0178,2.2301,107.3972,186.3881,197.4138,192.5786,61.6381,0.3451,2.6213,24.1175,1.5456,17.7116,-50.6875,2005.06,2004.9244,21,85,2.3,26.7,-4.0585925,60.3465144
12.3565,-0.0172,2.2072,107.01,188.2787,196.7772,184.9313,64.1001,0.3367,2.4797,34.1172,1.5864,25.2851,-50.875,2005.06,2005.0768,21,85,2.3,26.7,-4.0585925,60.3465144
12.0347,-0.0204,2.1872,106.9071,187.7856,196.5556,184.0749,59.6665,0.3204,2.4671,43.4451,1.7401,31.1769,-49.125,2005.25,2005.2292,22,581,,30.3,-4.0585925,60.3465144
12.0324,-0.0195,2.2044,107.1895,189.6124,196.9306,182.7107,57.5141,0.3142,2.494,48.5758,1.754,33.809,-48.625,2005.45,2005.3816,23,1029,,29.5,-4.0585925,60.3465144
12.0336,-0.0184,2.2096,106.4105,189.0811,198.9174,181.4073,60.6301,0.302,2.61,58.5167,2.026,38.4617,-47.125,2005.45,2005.534,23,1029,,29.5,-4.0585925,60.3465144
12.0335,-0.0194,2.2215,106.5237,189.3588,196.6489,181.291,57.6522,0.3197,2.635,87.7334,1.9086,55.8937,-48.8125,2005.7,2005.6864,24,950,,28.6,-4.0585925,60.3465144
12.0313,-0.0242,2.2131,106.5181,188.6427,194.8786,183.2225,58.8599,0.312,2.7329,115.2588,1.9088,73.3981,-49.25,2005.95,2005.8388,25,783,609,28.1,-4.0585925,60.3465144
11.7221,-0.028,2.2015,106.8426,189.08,195.9492,183.5313,56.8499,0.3182,2.6289,109.9686,1.8132,67.9075,-48.5,2005.95,2005.9912,25,783,609,28.1,-4.0585925,60.3465144
12.3689,-0.0239,2.1893,106.8817,190.1667,194.9303,182.6893,55.9927,0.2911,2.5029,93.3907,1.5656,59.4113,-48.25,2006.33,2006.1436,26,743,,28.4,-4.0585925,60.3465144
12.0541,-0.0254,2.1757,106.4728,190.4754,196.4907,184.1886,59.3674,0.2917,2.3991,69.0176,1.5283,46.0773,-46.6875,2006.33,2006.296,26,743,,28.4,-4.0585925,60.3465144
12.0548,-0.0224,2.1826,106.6259,191.2809,197.2859,184.6123,57.181,0.3133,2.2992,43.1943,1.3241,30.157,-49.25,2006.5,2006.4484,27,740,,28.5,-4.0585925,60.3465144
12.0587,-0.0206,2.1897,106.4082,191.5615,197.2498,185.9149,59.4232,0.3122,2.3723,21.1527,1.3366,14.7208,-47.875,2006.5,2006.6008,27,740,,28.5,-4.0585925,60.3465144
12.0548,-0.0173,2.2051,106.3476,189.901,191.2023,186.0444,61.7173,0.3139,2.4653,17.9544,1.4161,13.9341,-47.1875,2006.73,2006.7532,28,986,,29.2,-4.0585925,60.3465144
12.0576,-0.0171,2.2156,106.0522,189.8067,195.5342,185.4854,62.0026,0.3087,2.5933,20.8598,2.3441,16.5515,-49,2007.03,2006.9056,29,1000,805,29.6,-4.0585925,60.3465144
