AT60,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMED,RSHAL,closest_depth,true depth,"SAMPLE
NUMBER","PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",Longitude,Latitude
22.6363,12.477,-0.0141,2.2315,95.54,180.8995,32.4482,0.2799,3.5258,22.9473,20.0909,22.2265,2175.76,2175.7672,4,5.5,0.49,18.8,-4.0310681,60.3958653
13.9423,12.4151,-0.0116,2.2577,94.3143,180.2883,36.055,0.267,3.4748,14.4218,13.5246,14.1109,2175.76,2175.9196,4,5.5,0.49,18.8,-4.0310681,60.3958653
11.3222,12.4114,-0.0146,2.2954,96.1936,176.138,38.4423,0.2813,4.0536,11.6685,11.3303,11.4351,2176.22,2176.072,6,2,,19.8,-4.0310681,60.3958653
5.8073,12.4059,-0.013,2.3486,96.7802,177.9785,47.8227,0.2946,4.3843,6.0345,5.8763,5.7333,2176.22,2176.2244,6,2,,19.8,-4.0310681,60.3958653
4.5817,12.4574,-0.0124,2.3571,97.4163,188.6359,48.3556,0.3075,4.2757,4.7768,4.9121,5.1329,2176.51,2176.3768,7,0.48,,20.4,-4.0310681,60.3958653
3.9982,12.3645,-0.0125,2.3347,99.4411,188.0279,47.2943,0.3027,4.0283,4.1624,4.3831,4.6245,2176.51,2176.5292,7,0.48,,20.4,-4.0310681,60.3958653
3.784,12.1782,-0.014,2.3359,100.526,194.2289,52.9932,0.2984,4.0892,3.9348,4.1615,4.3671,2176.51,2176.6816,7,0.48,,20.4,-4.0310681,60.3958653
3.3357,12.1982,-0.0074,2.3859,101.2734,200.1261,62.691,0.3128,4.3046,3.4412,3.4102,3.3649,2176.98,2176.834,9,3.5,,19.7,-4.0310681,60.3958653
3.3503,12.2208,-0.0039,2.4333,100.8906,202.3542,66.9476,0.3343,4.3711,3.4476,3.3316,3.2863,2176.98,2176.9864,9,3.5,,19.7,-4.0310681,60.3958653
3.3326,12.2184,-0.001,2.4417,99.6627,203.7725,66.6726,0.3382,4.1234,3.4171,3.2909,3.2571,2177.2,2177.1388,10,5.5,,22.2,-4.0310681,60.3958653
3.3169,12.2186,-0.004,2.4263,98.8205,203.2178,69.2372,0.329,4.0435,3.3951,3.269,3.2417,2177.2,2177.2912,10,5.5,,22.2,-4.0310681,60.3958653
3.2354,12.2533,-0.0048,2.4173,99.4335,205.8463,67.3016,0.3173,3.8351,3.2973,3.1459,3.1224,2177.45,2177.4436,11,14,,20.7,-4.0310681,60.3958653
3.2218,12.2686,-0.0036,2.4134,100.5262,206.4993,68.2804,0.3248,3.8681,3.2959,3.1301,3.0916,2177.7,2177.596,12,1.4,0.09,19.7,-4.0310681,60.3958653
3.2055,12.2956,-0.0025,2.4126,102.4734,206.4366,69.5383,0.3293,3.8429,3.2903,3.1373,3.1125,2177.7,2177.7484,12,1.4,0.09,19.7,-4.0310681,60.3958653
3.2238,12.3168,-0.006,2.4065,103.1807,201.9595,68.3173,0.3366,4.0775,3.3128,3.1658,3.1641,2177.95,2177.9008,13,1,,18.8,-4.0310681,60.3958653
3.2414,12.2785,-0.0061,2.4059,102.8828,198.8273,66.3947,0.3436,4.1444,3.3321,3.1847,3.194,2177.95,2178.0532,13,1,,18.8,-4.0310681,60.3958653
3.4707,12.2343,-0.0049,2.3983,101.4396,195.4777,68.9159,0.3596,4.1264,3.5837,3.3666,3.3775,2178.27,2178.2056,14,3.7,,18.1,-4.0310681,60.3958653
3.4436,12.2421,-0.0057,2.3928,101.7626,194.6973,69.6463,0.3685,4.0196,3.5613,3.3656,3.361,2178.27,2178.358,14,3.7,,18.1,-4.0310681,60.3958653
3.3688,12.2491,-0.0063,2.3916,101.0544,196.847,71.377,0.3598,3.9212,3.4818,3.3347,3.3269,2178.65,2178.5104,16,1195,2155,28.4,-4.0310681,60.3958653
3.3348,12.2121,-0.0042,2.4042,99.7202,192.4614,69.4486,0.351,3.9721,3.4449,3.3215,3.3123,2178.65,2178.6628,16,1195,2155,28.4,-4.0310681,60.3958653
3.3749,12.2237,-0.0025,2.4194,97.2438,190.8732,68.5943,0.338,3.8863,3.4656,3.3322,3.3026,2178.65,2178.8152,16,1195,2155,28.4,-4.0310681,60.3958653
3.5595,12.2359,-0.0028,2.4319,95.519,192.9907,68.6079,0.3328,3.9113,3.6436,3.4037,3.3924,2178.65,2178.9676,16,1195,2155,28.4,-4.0310681,60.3958653
