CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RACH,RDEP,RLA2,RLA4,RMED,RMIC,RPCH,RSHAL,SP,closest_depth,true depth,"SAMPLE
NUMBER","PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",Longitude,Latitude
12.3498,0.0005,2.3534,101.055,204.484,72.0035,0.307,2.6543,6.4583,6.0542,4.7872,6.0542,5.7795,3.9984,4.9489,3.2504,15.4903,2141.25,2141.2704,2,41,,25.3,-4.1381753,60.3443039
12.2449,0.0004,2.3336,99.9244,203.283,79.1714,0.3124,2.8337,6.2866,5.7396,4.6995,5.7396,5.659,2.761,4.7575,3.3627,15.1318,2141.48,2141.4228,3,713,,29.9,-4.1381753,60.3443039
12.2374,-0.0004,2.3717,99.8165,202.952,83.9496,0.3186,2.8435,5.0463,5.6092,4.709,5.6092,5.6394,2.842,3.8577,3.2099,15.2343,2141.48,2141.5752,3,713,,29.9,-4.1381753,60.3443039
12.2449,-0.001,2.3557,100.005,202.242,85.7612,0.3268,2.7874,5.0538,5.6033,4.6605,5.6033,5.5947,4.0126,3.666,3.2473,15.4802,2141.48,2141.7276,3,713,,29.9,-4.1381753,60.3443039
12.2636,-0.0001,2.3437,99.5149,201.534,87.4162,0.3446,2.8029,4.8636,5.6141,4.7003,5.6141,5.5388,4.0884,3.5505,3.3581,15.7881,2142.03,2141.88,5,687,599,27.5,-4.1381753,60.3443039
12.2674,0.0005,2.3785,100.689,202.352,87.2958,0.3552,2.7876,4.7762,5.5638,4.5546,5.5638,5.4172,4.2614,3.5869,3.146,16.3983,2142.03,2142.0324,5,687,599,27.5,-4.1381753,60.3443039
12.2299,0.0003,2.3691,101.452,202.578,85.809,0.359,2.737,4.9048,5.2897,4.2672,5.2897,5.2756,3.2145,3.7662,3.0185,16.781,2142.25,2142.1848,6,848,,28.7,-4.1381753,60.3443039
12.2299,-0.0005,2.3057,102.174,200.67,82.1178,0.3408,2.6907,5.3499,5.3228,4.4272,5.3228,5.3029,2.4868,4.1747,2.984,17.3166,2142.25,2142.3372,6,848,,28.7,-4.1381753,60.3443039
12.2074,-0.003,2.3005,102.939,197.923,81.5436,0.3271,2.5972,5.5579,5.5857,4.4082,5.5857,5.387,3.019,4.4778,3.2203,17.7837,2142.5,2142.4896,7,176,,25.6,-4.1381753,60.3443039
12.2374,-0.0051,2.2603,104.64,197.603,77.1022,0.3199,2.4533,6.0712,5.688,4.4896,5.688,5.5166,2.6746,5.2551,3.1347,17.979,2142.76,2142.642,8,0,,29.1,-4.1381753,60.3443039
12.2187,-0.0061,2.287,105.303,197.295,74.1516,0.3167,2.3927,5.9514,6.0155,4.7069,6.0155,5.7582,2.7151,5.0276,3.3172,18.0737,2142.76,2142.7944,8,0,,29.1,-4.1381753,60.3443039
12.2224,-0.0061,2.282,105.904,198.104,65.9394,0.3135,2.2837,6.768,7.7314,5.3015,7.7314,6.6555,2.1051,6.5438,3.4469,18.0753,2142.97,2142.9468,9,1034,1093,29.7,-4.1381753,60.3443039
12.2299,-0.0061,2.213,107.281,198.872,61.1441,0.3019,2.1694,7.9891,9.7092,6.6811,9.7092,8.1733,1.8155,9.02,3.7512,17.9934,2142.97,2143.0992,9,1034,1093,29.7,-4.1381753,60.3443039
12.2374,-0.0058,2.1693,105.494,201.188,55.3172,0.2866,2.0425,8.5258,10.0555,7.0069,10.0555,9.0347,1.8155,8.5014,3.9385,17.6746,2143.25,2143.2516,10,716,,28.7,-4.1381753,60.3443039
12.2299,-0.006,2.1403,105.401,201.423,56.6828,0.2848,1.9803,9.4041,11.7069,8.1203,11.4697,10.7173,1.3784,7.5005,4.5385,17.0152,2143.48,2143.404,11,772,,28.4,-4.1381753,60.3443039
12.2374,-0.0033,2.1523,104.693,199.975,56.0792,0.291,1.9581,9.6005,11.8905,8.2963,11.5925,10.8153,1.3687,8.2944,4.5258,16.4344,2143.48,2143.5564,11,772,,28.4,-4.1381753,60.3443039
12.2299,0.0021,2.1642,101.782,197.108,60.5415,0.3097,2.0764,9.93,11.4992,8.1215,11.3705,10.7036,2.2275,8.0562,4.3966,15.5915,2143.68,2143.7088,12,30,,23.3,-4.1381753,60.3443039
12.2299,0.0127,2.255,100.421,196.043,62.4056,0.3241,2.2262,10.1892,10.5773,7.5813,10.5773,10.0305,3.7088,8.3335,4.4009,14.2467,2144.03,2143.8612,13,912,892,28.9,-4.1381753,60.3443039
