CALI,DENC,DENS,DTC,DTS_1,DTS_2,GR,NEUT,PEF,RDEP,RMIC,RSHAL,closest_depth,true depth,"SAMPLE
NUMBER","PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",Longitude,Latitude
12.1785,-0.0141,2.1942,101.1191,171.6273,180.666,54.8623,0.2695,2.5924,158.5927,1.4148,64.2135,2077.7,2077.6692,3,840,727,28.4,-4.2365475,60.3305383
12.1817,-0.0142,2.1993,100.0295,171.8032,181.7603,53.0434,0.2786,2.615,195.1871,1.3221,69.3218,2077.7,2077.8216,3,840,727,28.4,-4.2365475,60.3305383
12.1785,-0.0126,2.2001,99.5309,171.7128,182.3145,53.4784,0.2684,2.6601,224.5363,1.3194,71.8813,2077.95,2077.974,4,723,,28.2,-4.2365475,60.3305383
12.1785,-0.0113,2.1999,100.4029,171.2317,179.7954,54.859,0.2827,2.6794,218.5172,1.2808,66.3588,2078.22,2078.1264,5,503,,27.9,-4.2365475,60.3305383
12.1817,-0.0113,2.201,100.0194,172.369,180.2111,52.0167,0.2746,2.7136,194.9306,1.291,60.1678,2078.22,2078.2788,5,503,,27.9,-4.2365475,60.3305383
12.1783,-0.0127,2.1964,100.9422,172.2653,182.0213,55.0772,0.2942,2.6746,174.9391,1.2879,55.2036,2078.45,2078.4312,6,819,,28.3,-4.2365475,60.3305383
12.1785,-0.009,2.2012,101.4016,173.1287,181.3549,56.0626,0.2956,2.6245,161.0157,1.3004,52.7961,2078.7,2078.5836,7,612,302,27.5,-4.2365475,60.3305383
12.1801,-0.0066,2.2038,101.3274,173.8785,179.1593,55.8836,0.3133,2.4982,156.5204,1.3181,52.0698,2078.7,2078.736,7,612,302,27.5,-4.2365475,60.3305383
12.1817,-0.0067,2.2125,101.184,173.0773,178.3755,56.6944,0.3121,2.5074,155.312,1.3486,49.2315,2078.95,2078.8884,8,759,,28.2,-4.2365475,60.3305383
12.1785,-0.0039,2.2169,101.0937,173.2989,177.5086,57.5332,0.299,2.5194,145.6942,1.3197,46.5614,2078.95,2079.0408,8,759,,28.2,-4.2365475,60.3305383
12.1785,-0.0026,2.2209,100.9394,172.6543,177.695,54.808,0.3038,2.5791,136.4169,1.3385,45.479,2078.95,2079.1932,8,759,,28.2,-4.2365475,60.3305383
12.1801,-0.0036,2.2156,101.2379,177.0785,178.9539,56.6675,0.2928,2.6379,126.5289,1.331,44.2078,2079.5099999999998,2079.3456,10,572,,28.1,-4.2365475,60.3305383
12.1817,-0.0054,2.2131,101.1106,177.4411,178.9146,57.7013,0.3024,2.6183,107.8052,1.3398,40.8214,2079.5099999999998,2079.498,10,572,,28.1,-4.2365475,60.3305383
12.1769,-0.0065,2.2026,100.986,171.9951,178.4714,57.9311,0.2915,2.6101,82.8611,1.345,34.735,2079.7,2079.6504,11,836,462,27.9,-4.2365475,60.3305383
12.1801,-0.0112,2.1986,100.9139,171.0937,178.9042,59.22,0.304,2.5133,67.4803,1.4214,30.3948,2079.7,2079.8028,11,836,462,27.9,-4.2365475,60.3305383
12.1785,-0.011,2.2029,100.5417,170.2997,186.3173,56.5796,0.3051,2.5329,65.2279,1.416,29.3079,2079.95,2079.9552,12,909,,28.2,-4.2365475,60.3305383
12.1817,-0.0131,2.2102,99.5926,170.0517,185.4845,55.4906,0.3007,2.5573,72.5738,1.512,30.4895,2080.25,2080.1076,13,575,,27.6,-4.2365475,60.3305383
12.1785,-0.0141,2.2083,99.6085,170.4349,184.8294,56.4397,0.293,2.5941,86.6585,1.4559,32.9082,2080.25,2080.26,13,575,,27.6,-4.2365475,60.3305383
12.1787,-0.0161,2.2073,99.5702,170.1178,184.984,57.4338,0.301,2.5785,113.0394,1.4606,36.9363,2080.45,2080.4124,14,519,,27.7,-4.2365475,60.3305383
12.1817,-0.0152,2.2046,98.775,170.5768,179.1203,58.6687,0.3127,2.5908,136.352,1.4383,40.3961,2080.45,2080.5648,14,519,,27.7,-4.2365475,60.3305383
12.1785,-0.0141,2.2065,98.7797,171.0585,179.2048,56.0605,0.3167,2.5166,133.7829,1.4499,42.2879,2080.7,2080.7172,15,875,785,27.7,-4.2365475,60.3305383
12.1817,-0.0115,2.2089,99.2904,170.8761,185.5663,59.8723,0.3099,2.49,107.1148,1.4002,42.7755,2080.8999999999996,2080.8696,16,678,,28.1,-4.2365475,60.3305383
12.1801,-0.0113,2.2142,98.9917,171.1707,179.6182,57.048,0.2918,2.4249,80.9903,1.4044,40.1975,2080.8999999999996,2081.022,16,678,,28.1,-4.2365475,60.3305383
12.1801,-0.0114,2.2142,99.0699,171.6227,180.6765,58.7969,0.2814,2.5203,60.6809,1.4426,34.3666,2081.18,2081.1744,17,779,,28,-4.2365475,60.3305383
12.1816,-0.0089,2.2115,99.345,170.2415,179.8581,60.7103,0.2742,2.5504,46.1058,1.4029,28.2506,2081.18,2081.3268,17,779,,28,-4.2365475,60.3305383
12.1801,-0.0084,2.2056,99.7044,169.9844,181.6011,60.5174,0.2981,2.6606,35.5443,1.3743,23.0583,2081.5299999999997,2081.4792,18,601,,28.5,-4.2365475,60.3305383
12.1785,-0.0086,2.2086,101.3865,169.752,182.7836,62.5029,0.3234,2.6755,30.1372,1.3795,19.9197,2081.7,2081.6316,19,1124,,27.6,-4.2365475,60.3305383
12.1817,-0.0066,2.2113,102.6156,174.3512,183.4461,61.0155,0.339,2.6435,28.0205,1.5566,18.6877,2081.7,2081.784,19,1124,,27.6,-4.2365475,60.3305383
12.1785,-0.0025,2.2062,103.5979,177.6931,183.4188,61.6203,0.3259,2.6262,27.4212,1.3953,18.1793,2081.95,2081.9364,20,713,,29.2,-4.2365475,60.3305383
12.1833,-0.0049,2.1973,104.0354,178.5349,183.4374,62.2809,0.322,2.6341,28.8428,1.2873,19.4346,2082.22,2082.0888,21,44,,21.6,-4.2365475,60.3305383
12.1771,-0.0073,2.1887,104.1416,179.0867,183.3721,61.1694,0.3137,2.6187,33.8643,1.3886,23.1537,2082.22,2082.2412,21,44,,21.6,-4.2365475,60.3305383
